"Carimbo de data/hora","1. Eu sou:","2. Área:","3. Gênero:","4. Tempo de Empresa (há quanto tempo trabalha na Inmetrics?)","5. Faixa etária:","6. Alocação:","7. Na sua opinião, qual a missão/propósito da Inmetrics? (até 100 caracteres)","8. Na Inmetrics: [O reconhecimento (na forma de promoções, elogios, aumentos) é justo e eficiente]","8. Na Inmetrics: [O sistema de avaliação de desempenho da empresa é justo e eficiente]","8. Na Inmetrics: [Os sistemas de acompanhamento de indicadores dos projetos e metas são justos e eficientes]","9. Os colaboradores são preparados de maneira adequada para atuar com excelência em seus projetos e/ou áreas. [->]","10. Ao iniciar o trabalho, os colaboradores: [Entendem o contexto e os objetivos do cliente]","10. Ao iniciar o trabalho, os colaboradores: [Compreendem o propósito de suas entregas]","10. Ao iniciar o trabalho, os colaboradores: [Conhecem seu/sua líder]","10. Ao iniciar o trabalho, os colaboradores: [Utilizam efetivamente suas habilidades e conhecimentos]","10. Ao iniciar o trabalho, os colaboradores: [Sentem-se capacitados para a função]","10. Ao iniciar o trabalho, os colaboradores: [São apresentados à equipe com a qual vão trabalhar]","10. Ao iniciar o trabalho, os colaboradores: [Têm espaço físico de trabalho e equipamentos adequados]","11. O ambiente na Inmetrics é: [Informal]","11. O ambiente na Inmetrics é: [De pressão]","11. O ambiente na Inmetrics é: [Flexível]","11. O ambiente na Inmetrics é: [Desorganizado]","11. O ambiente na Inmetrics é: [Leve]","12. Outro(s) aspecto(s) sobre o ambiente da Inmetrics que vale(m) mencionar. (até 100 caracteres)","13. Na Inmetrics, o que mais importa é (são): [O ambiente de trabalho]","13. Na Inmetrics, o que mais importa é (são): [O resultado financeiro da empresa]","13. Na Inmetrics, o que mais importa é (são): [A satisfação do cliente]","13. Na Inmetrics, o que mais importa é (são): [A opinião dos líderes]","13. Na Inmetrics, o que mais importa é (são): [Qualidade técnica da entrega]","13. Na Inmetrics, o que mais importa é (são): [As equipes]","14. As questões e dificuldades que surgem no dia a dia da Inmetrics são abordadas com visão de médio/longo prazo. [->]","15. A Inmetrics valoriza: [Inovação]","15. A Inmetrics valoriza: [Desempenho]","15. A Inmetrics valoriza: [Qualidade]","15. A Inmetrics valoriza: [Rapidez]","15. A Inmetrics valoriza: [Satisfação do cliente]","15. A Inmetrics valoriza: [Colaboradores]","16. A Inmetrics é uma empresa que: [Cumpre suas obrigações trabalhistas (salários em dia, 13º etc.)]","16. A Inmetrics é uma empresa que: [Se destaca positivamente em termos de ambiente de trabalho]","16. A Inmetrics é uma empresa que: [Oferece bons salários]","16. A Inmetrics é uma empresa que: [Oferece oportunidades de aprendizado e desenvolvimento]","16. A Inmetrics é uma empresa que: [Oferece oportunidades de crescimento interno]","16. A Inmetrics é uma empresa que: [Gera engajamento em seus colaboradores]","17. Para você, os maiores fatores de satisfação do cliente são: [Entrega de qualidade]","17. Para você, os maiores fatores de satisfação do cliente são: [Rapidez na entrega]","17. Para você, os maiores fatores de satisfação do cliente são: [Equipe técnica de alta qualidade]","17. Para você, os maiores fatores de satisfação do cliente são: [Baixo custo]","17. Para você, os maiores fatores de satisfação do cliente são: [Soluções inovadoras]","18. No meu dia a dia, sinto colaboração e apoio por parte de: [Meus colegas]","18. No meu dia a dia, sinto colaboração e apoio por parte de: [Meu/minha líder]","18. No meu dia a dia, sinto colaboração e apoio por parte de: [Liderança sênior (diretoria e CEO)]","18. No meu dia a dia, sinto colaboração e apoio por parte de: [Colaboradores de outras áreas]","18. No meu dia a dia, sinto colaboração e apoio por parte de: [Meus liderados (minha equipe)]","19. Meu líder é: [Inspirador]","19. Meu líder é: [Preparado]","19. Meu líder é: [Comercial]","19. Meu líder é: [Bem intencionado]","19. Meu líder é: [Técnico]","19. Meu líder é: [Gestor de pessoas]","19. Meu líder é: [Focado no cliente]","19. Meu líder é: [Próximo]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Inspiradora]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Preparada]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Comercial]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Bem intencionada]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Técnica]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Gestora de pessoas]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Focada no cliente]","20. A liderança sênior (diretoria e CEO) da Inmetrics é: [Próxima das equipes]","21. Inovação na Inmetrics é: [Incentivada]","21. Inovação na Inmetrics é: [Teórica]","21. Inovação na Inmetrics é: [Voltada às necessidades dos clientes]","21. Inovação na Inmetrics é: [Voltada ao desenvolvimento de novos produtos]","21. Inovação na Inmetrics é: [Parte do DNA da empresa]","21. Inovação na Inmetrics é: [Isolada]","21. Inovação na Inmetrics é: [Dificultada]","22. Qual ação/movimento/iniciativa traria maior impacto positivo à Inmetrics? (até 300 caracteres)",""
"2019/06/06 8:41:51 AM GMT-3","","","","","","","Alavancar os negócios dos clientes por meio de soluções tecnológicas de ponta.","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo parcialmente","Discordo totalmente","Discordo totalmente","Discordo parcialmente","Concordo parcialmente","Discordo parcialmente","Discordo totalmente","Discordo parcialmente","Concordo totalmente","Discordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Difícil acesso às pessoas da empresa","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Discordo totalmente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Discordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Discordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Não se aplica","Discordo parcialmente","Discordo totalmente","Concordo parcialmente","Concordo totalmente","Discordo parcialmente","Discordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Discordo parcialmente","Discordo totalmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Discordo totalmente","Concordo parcialmente","Discordo totalmente","Concordo parcialmente","Concordo parcialmente","Capacitar a liderança","Concordo parcialmente"
"2019/06/07 10:16:29 AM GMT-3","","","","","","","Hup","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Não concordo nem discordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Discordo parcialmente","Não concordo nem discordo","Concordo parcialmente","","Discordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Não se aplica","Concordo totalmente","Não se aplica","Concordo totalmente","Não se aplica","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","","Concordo totalmente"
"2019/06/13 11:45:36 AM GMT-3","Líder de equipe","Consulting","Masculino","Menos de 6 meses","31 a 35 anos","Alocado no cliente","TESTE","Concordo totalmente","Concordo parcialmente","Não concordo nem discordo","Concordo totalmente","Não concordo nem discordo","Discordo parcialmente","Discordo parcialmente","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Discordo parcialmente","Concordo totalmente","Não concordo nem discordo","Discordo parcialmente","Discordo totalmente","Discordo totalmente","TESTE","Discordo totalmente","Discordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Não concordo nem discordo","Discordo totalmente","Discordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Discordo totalmente","Discordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Discordo parcialmente","Discordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Não concordo nem discordo","Discordo parcialmente","Concordo totalmente","Discordo totalmente","Concordo parcialmente","Discordo parcialmente","Não concordo nem discordo","Concordo totalmente","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Não concordo nem discordo","Discordo parcialmente","Não concordo nem discordo","Discordo parcialmente","Discordo totalmente","Discordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","TESTE",""
"2019/06/13 11:48:58 AM GMT-3","Colaborador","Consulting","Masculino","1 a 2 anos","26 a 30 anos","No Thera","hup","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","jhyp","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","hup",""
"2019/06/13 3:42:22 PM GMT-3","Líder de equipe","Novos Negócios e Parcerias","Feminino","6 meses a 1 ano","36 a 45 anos","No Thera","Lucro","Discordo parcialmente","Discordo totalmente","Discordo parcialmente","Discordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Não concordo nem discordo","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Informal e com boas pessoas","Não concordo nem discordo","Concordo totalmente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente","Discordo parcialmente","Discordo totalmente","Discordo totalmente","Discordo parcialmente","Discordo parcialmente","Concordo totalmente","Concordo parcialmente","Discordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Não concordo nem discordo","Concordo totalmente","Não concordo nem discordo","Não concordo nem discordo","Discordo totalmente","Não concordo nem discordo","Discordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Discordo totalmente","Concordo parcialmente","Discordo totalmente","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo totalmente","Concordo totalmente","Discordo totalmente","Concordo parcialmente","Concordo totalmente","Discordo totalmente","Discordo totalmente","Lideranca",""
"2019/06/13 3:51:04 PM GMT-3","Líder de líder","Pessoas","Feminino","Menos de 6 meses","31 a 35 anos","No Canopus","teste","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","teste","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","teste",""
"2019/06/13 3:54:15 PM GMT-3","Colaborador","Pessoas","Feminino","2 a 4 anos","31 a 35 anos","No Canopus","teste","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo parcialmente","Discordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Concordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","teste","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Teste",""
"2019/06/13 3:57:08 PM GMT-3","Colaborador","Pessoas","Feminino","Menos de 6 meses","26 a 30 anos","No Canopus","Atender as melhores soluções para os clientes com eficiência e qualidade.","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Não concordo nem discordo","Concordo parcialmente","Ambiente descontraído","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Discordo parcialmente","Discordo parcialmente","Formação de líderes ",""
"2019/06/13 4:22:17 PM GMT-3","Líder de equipe","Marketing","Feminino","2 a 4 anos","36 a 45 anos","No Canopus","Chegar a 1bi de valor de mercado","Discordo totalmente","Discordo parcialmente","Discordo totalmente","Concordo parcialmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","teste","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","testando tetessssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssd",""
"2019/06/13 4:24:17 PM GMT-3","Colaborador","Pessoas","Masculino","6 meses a 1 ano","Mais de 45 anos","No Canopus","Melhorar o ambiente de trabalho e com isso, ter melhores resultados e desenvolvimento.","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo totalmente","Concordo totalmente","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Nenhum que valha à pena tecer comentários.","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Discordo parcialmente","Concordo totalmente","Discordo parcialmente","Não concordo nem discordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Discordo parcialmente","Concordo totalmente","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Não concordo nem discordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Não concordo nem discordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Não se aplica","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Não concordo nem discordo","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Concordo totalmente","Não concordo nem discordo","Concordo parcialmente","Não concordo nem discordo","Concordo parcialmente","Não concordo nem discordo","Não concordo nem discordo","Dar início, continuidade e fim às ações já anteriormente implementadas.",""
